portfolio,yield,cvar_95,aave,mmf,pendle_pt,pendle_yt,sbn
min_risk,0.051469001277368524,0.03383581942406841,9.623632871899903e-07,0.48768053926258925,1.3378751628816669e-06,0.012317149911516822,0.5000000103225394
balanced,0.08508581179769126,0.01012351091118684,-7.478636514105204e-06,0.1926095887681372,0.1574027593896932,0.14999496012026953,0.500000171608263
max_yield,0.12462872491619227,-0.077700825504363,0.34492968598361434,1.4398782561464634e-08,0.499997092726754,0.14999722494657333,0.0050759831176253375
