instrument,aave,mmf,pendle_pt,pendle_yt,sbn
aave,0.010641645351584399,0.0006762841586681758,0.001166291596914984,0.02038347269980127,0.00041297455591619706
mmf,0.0006762841586681758,0.00011373421648328287,8.527414335291072e-05,0.0026595388636348667,3.786711834164322e-05
pendle_pt,0.001166291596914984,8.527414335291072e-05,0.0005227881298718387,0.00304508090247777,0.00011346497815955762
pendle_yt,0.02038347269980127,0.0026595388636348667,0.00304508090247777,0.1272080080244946,0.0015141047906907037
sbn,0.00041297455591619706,3.786711834164322e-05,0.00011346497815955762,0.0015141047906907037,6.159040254545458e-05
