instrument,aave,mmf,pendle_pt,pendle_yt,sbn
aave,0.004144509086534622,1.4822141842444751e-05,0.003827966533735004,0.003827966533735004,-5.5213040385533894e-05
mmf,1.4822141842444751e-05,4.7990563745018094e-05,2.2605582933277056e-05,2.2605582933277056e-05,-2.3140785840221527e-06
pendle_pt,0.003827966533735004,2.2605582933277056e-05,0.005993478544413073,0.005993478544413073,-4.090805481765039e-05
pendle_yt,0.003827966533735004,2.2605582933277056e-05,0.005993478544413073,0.005993478544413073,-4.090805481765039e-05
sbn,-5.5213040385533894e-05,-2.3140785840221527e-06,-4.090805481765039e-05,-4.090805481765039e-05,1.6827336377473782e-06
