# fetched: 2026-02-21
date,instrument,yield_annual,currency,source,notes
2026-01-22,pendle,0.1225773,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-23,pendle,0.12348890000000001,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-24,pendle,0.1253517,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-25,pendle,0.1245033,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-26,pendle,0.1251155,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-27,pendle,0.1265822,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-28,pendle,0.12464270000000001,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-29,pendle,0.12179639999999999,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-30,pendle,0.11950580000000001,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-01-31,pendle,0.1168066,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-01,pendle,0.1150357,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-02,pendle,0.1134185,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-03,pendle,0.1115157,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-04,pendle,0.1117174,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-05,pendle,0.1122106,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-06,pendle,0.1144492,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-07,pendle,0.1141624,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-08,pendle,0.11442909999999999,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-09,pendle,0.1142214,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-10,pendle,0.1141548,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-11,pendle,0.116399,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-12,pendle,0.11635329999999999,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-13,pendle,0.1161904,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-14,pendle,0.11788320000000001,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-15,pendle,0.117383,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-16,pendle,0.1148976,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-17,pendle,0.1141418,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-18,pendle,0.11272030000000001,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-19,pendle,0.1134435,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-20,pendle,0.1121673,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
2026-02-21,pendle,0.1084516,USD,defillama,Pool: SNUSD (ef064741-6170-4e8b-8c5c-885059ab9072)
