chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Ethereum,pendle,DETH,3186531,0.93113,0.00236,0.93349,['0x808507121b80c02388fad14726482e061b8da827'],47bb69a1-17fa-482c-a7d6-08f033d5099a,0.17025,0.1826,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",For LP | Maturity 23APR2026,1.72985,0.05141,27,False,"['0xe1d9b789da5b5375eacf66f036022b019a2af307', '0xc34e7d9d5ec0626ed14b6b7cee02fe904bec4c8d']",,,1.73651,0.0,0.0,
Hyperliquid L1,pendle,HLPE,2877817,1.35495,0.09182,1.44677,['0xD6Eb81136884713E843936843E286FD2a85A205A'],71f99253-bf56-47c8-bd30-7cb3a4b4c5e9,-0.00466,-2.05596,-4.92526,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 91, 'binnedConfidence': 3}",For LP | Maturity 19MAR2026,6.91914,0.2443,70,False,"['0x7b9c903de833d4000023d3fc28209e74fa64edb6', '0x4c9384312333f8de90e8173da572f4dcfca43fd2']",,,6.10947,0.0,0.0,
Hyperliquid L1,pendle,HLPE,2877817,8.06597,,8.06597,,ecf6e06f-1b00-4a45-a61e-7be188bc7b74,0.00119,-0.97019,-3.00736,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 53, 'binnedConfidence': 1}",For buying PT-HLPe-19MAR2026,10.02284,0.05817,70,False,['0x54a98ff45a7dbdf30c54e32fd330d3ea582a5559'],,,10.14995,,,
Ethereum,pendle,MHYPERBTC,2825389,5.38837,0.42064,5.80901,['0x808507121b80c02388fad14726482e061b8da827'],7032474c-ff97-444b-a141-d6f8cdf97e59,-0.19946,-1.77034,-3.50349,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 59, 'binnedConfidence': 1}",For LP | Maturity 30APR2026,7.59998,0.10735,43,False,"['0x450e39fe80936c502c7c0d9d032c46c9a8b040b3', '0x95fc228a926828b4d95f52c1d52b345e743153f0']",,,7.29995,0.0,3303.6681,
Ethereum,pendle,MHYPERBTC,2825389,4.67587,,4.67587,,dd046797-157c-4a5c-aaa7-daac3ce9f092,-0.66119,-1.11653,-0.67864,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",For buying PT-mHyperBTC-30APR2026,5.42373,0.02499,43,False,['0xc8495eaff71d3a563b906295fcf2f685b1783085'],,,5.65933,,,
Ethereum,pendle,SRNUSD,2785260,7.68625,,7.68625,,acaeee45-c7d1-4052-acb7-faba0fc566f6,0.24787,-1.405,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 52, 'binnedConfidence': 1}",For buying PT-srNUSD-28MAY2026,8.51355,0.04525,13,False,['0x65a44528e8868166401ea08b549e19552af589db'],,,8.61244,,,
Ethereum,pendle,SRNUSD,2785260,7.31768,2.08204,9.39973,['0x808507121b80c02388fad14726482e061b8da827'],6ad420d0-626c-43ef-b2e7-3170d0578874,-0.09462,-2.89075,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",For LP | Maturity 28MAY2026,11.77411,0.11181,13,False,"['0x82b853db31f025858792d8fa969f2a1dc245c179', '0xdb8f1d15880b97dc38edfa46d8a5a7e5b506c45f']",,,11.79854,5991.77652,1074659.99938,
Arbitrum,pendle,STK-EPENDLE,2665529,19.87891,,19.87891,,191a9ce4-30ab-4c43-9cf9-f4aee0d59f18,-1.72573,-1.86196,-3.15203,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 63, 'binnedConfidence': 2}",For buying PT-stk-ePendle-26MAR2026,29.21366,0.23226,134,False,['0x37227785a1f4545ed914690e395e4cfe96b8319f'],,,21.97782,,,
Arbitrum,pendle,STK-EPENDLE,2665529,7.24985,0.00963,7.25948,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],419a4595-3f38-4c87-9d7d-58f9180c173b,-2.33472,-12.50347,-18.38714,False,yes,multi,"{'predictedClass': 'Stable/Up', 'predictedProbability': 82, 'binnedConfidence': 3}",For LP | Maturity 26MAR2026,33.19927,0.45102,134,False,"['0x93de1a69319972412b956de5fc18128cf82c6bd7', '0xd302d7fd2c9375a433018fdfa5613be6ad3f18e3']",,,19.04692,0.0,5.15764,
Ethereum,pendle,USD3,2664675,1.2168,0.30052,1.51732,['0x808507121b80c02388fad14726482e061b8da827'],87e9a8b0-2881-4a4a-b9d9-04411af7e9a9,0.04285,-0.96072,-4.53661,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 94, 'binnedConfidence': 3}",For LP | Maturity 19MAR2026,4.92601,0.13898,35,False,"['0x0396be0b0d2a88beff7680529e7f16de393381e4', '0xea3bc608f32847b97965c5e1648bdfcd4c2c40d0']",,,4.47252,0.0,170.03876,
Ethereum,pendle,USD3,2664675,6.76024,,6.76024,,ad1c64b8-4ade-4c80-b22f-0895f3cdd762,0.15081,-1.70553,-4.185,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",For buying PT-USD3-19MAR2026,8.4882,0.07096,35,False,['0x056b269eb1f75477a8666ae8c7fe01b64dd55ecc'],,,8.25729,,,
Ethereum,pendle,JRNUSD,2633503,10.60344,2.67996,13.28339,['0x808507121b80c02388fad14726482e061b8da827'],033aab25-9881-407c-8882-81a817418edb,-0.29492,-0.95724,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 67, 'binnedConfidence': 2}",For LP | Maturity 28MAY2026,13.61199,0.02043,13,False,"['0x3a0f4beeb1bb41bb545a1ce54b905fa13c162e34', '0x92899026d06343929c61e0987e09caeea6873fe5']",,,13.66581,43466.2155,429048.56193,
Ethereum,pendle,JRNUSD,2633503,10.99891,,10.99891,,790c903b-9253-4125-899b-e1cc047c1a7e,-0.33352,-0.73678,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 73, 'binnedConfidence': 2}",For buying PT-jrNUSD-28MAY2026,11.44941,0.01317,13,False,['0xfc807058a352b61aeef6a38e2d0fc3990225e772'],,,11.51233,,,
Ethereum,pendle,SENA,2522108,13.23931,,13.23931,,34b3a487-1459-44c5-b749-2fbf395fedfe,1.29404,2.03381,,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 83, 'binnedConfidence': 3}",For buying PT-sENA-30APR2026,11.23927,0.07521,23,False,['0x8be3460a480c80728a8c4d7a5d5303c85ba7b3b9'],,,11.26304,,,
Ethereum,pendle,SENA,2522108,2.88596,2.79994,5.6859,['0x808507121b80c02388fad14726482e061b8da827'],03e743e2-1348-4073-8e4f-05cb6c5b4c71,0.73021,-1.06476,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 59, 'binnedConfidence': 1}",For LP | Maturity 30APR2026,6.69153,0.08615,23,False,"['0x4552c668eb8dedeac53e00cfd05d873f11a80204', '0xa36ecca8b7624d224f01cd6649c8afad3da12c3d']",,,6.91871,1627.27365,21839.66656,
Ethereum,pendle,AVUSD,2512331,8.54115,,8.54115,,a2b41f6a-ce9d-4a06-af24-1a789bde5724,-0.55613,-1.15963,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",For buying PT-avUSD-14MAY2026,9.86719,0.06432,27,False,['0xf4c13d631450de6b12a19829e37c8e2826891dc4'],,,9.88345,,,
Ethereum,pendle,AVUSD,2512331,2.78775,1.37955,4.1673,['0x808507121b80c02388fad14726482e061b8da827'],61a45b62-a67b-4046-aa9f-759c302a6963,-0.22353,-1.8169,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 70, 'binnedConfidence': 2}",For LP | Maturity 14MAY2026,6.37075,0.11612,27,False,"['0xcc16cd49194e7aa3dca780c742580e2f9b418874', '0xaa6a8d538e36f23975beab59f5def2f19152d114']",,,6.54915,992.14501,3236.38223,
Arbitrum,pendle,THBILL,2379953,3.5123,0.98605,4.49835,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],bddc6092-e254-4aa9-a89c-9edd1408fa09,0.22705,-3.11696,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 76, 'binnedConfidence': 3}",For LP | Maturity 18JUN2026,7.3494,0.23899,16,False,"['0xe46271ecb1d5c7c5134868760f10c18b03021ef1', '0xc32e96b4c7eb7959b6a92f3f7ed5d2321e6ed3d4']",,,6.89623,12133.46668,114330.69645,
Arbitrum,pendle,THBILL,2379953,4.2937,,4.2937,,e706a34c-3811-467d-adf5-eb8d2a9c8587,0.04319,0.01166,,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 51, 'binnedConfidence': 1}",For buying PT-thBILL-18JUN2026,4.42832,0.04789,16,False,['0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a'],,,4.45575,,,
Arbitrum,pendle,MPENDLE,2253345,5.63369,0.01533,5.64901,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],07a8902d-084b-4bd2-98b5-cc348effc251,-0.75062,-1.18232,-8.49517,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 85, 'binnedConfidence': 3}",For LP | Maturity 26MAR2026,25.96462,0.57591,134,False,"['0x2dbe53408613bef23597be94c1fd453ac0147575', '0x5c4110ed760470f79e469a901bd6fb45a65be0f4']",,,8.17861,0.0,1682.35382,
Arbitrum,pendle,MPENDLE,2253345,8.25247,,8.25247,,ef8940da-0d25-4229-a62f-1391d09025ad,-0.23946,0.18594,0.56219,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 85, 'binnedConfidence': 3}",For buying PT-mPENDLE-26MAR2026,20.07982,0.4303,134,False,['0xb688ba096b7bb75d7841e47163cd12d18b36a5bf'],,,7.6267,,,
Ethereum,pendle,SUSDF,2204050,5.88484,0.15235,6.03719,['0x808507121b80c02388fad14726482e061b8da827'],1c45213f-b9aa-42e6-8668-729b87f1778c,0.0721,-0.60419,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 70, 'binnedConfidence': 2}",For LP | Maturity 18JUN2026,7.17543,0.0737,29,False,"['0x529702daa38f67e4a329634cc4bb7226b5938046', '0xa780d7f775b4eff6846a8c28981f086bc6a7d637']",,,7.27144,0.0,1169.49411,
Ethereum,pendle,SUSDF,2204050,5.77117,,5.77117,,3bc4dc0c-fa0d-4c74-8218-ccfce49f1e1c,-0.04127,-0.12564,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 61, 'binnedConfidence': 2}",For buying PT-sUSDf-18JUN2026,6.18639,0.01737,29,False,['0xc8cf6d7991f15525488b2a83df53468d682ba4b0'],,,6.20867,,,
Hyperliquid L1,pendle,BEHYPE,2147137,2.96173,,2.96173,,eeb04fc7-c02b-47b3-88ee-51068f11b0eb,1e-05,0.00964,0.06647,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 62, 'binnedConfidence': 2}",For buying PT-beHYPE-19MAR2026,2.9357,0.00376,86,False,['0xd8fc8f0b03eba61f64d08b0bef69d80916e5dda9'],,,2.95503,,,
Hyperliquid L1,pendle,BEHYPE,2147137,2.09872,0.00416,2.10288,['0xD6Eb81136884713E843936843E286FD2a85A205A'],30c7f344-5400-45a1-a4a3-457ded6bea9f,-0.01011,0.08463,-0.07774,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 85, 'binnedConfidence': 3}",For LP | Maturity 19MAR2026,2.11263,0.00857,86,False,"['0x3a4dcc6e9a19bcf4063ab3a0c63a5c0041175414', '0xd887cd43e3f79d9d794858ba1df6742b64a22528']",,,1.98007,0.0,0.0,
Hyperliquid L1,pendle,STHYPE,2137136,5.37004,0.31891,5.68895,['0xD6Eb81136884713E843936843E286FD2a85A205A'],1cd4c211-6cfc-4bb1-8f35-fa5f03e6fc98,-0.46477,0.0384,1.5991,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",For LP | Maturity 26FEB2026,5.44409,0.09028,86,False,"['0xcbaab2463a6ba43a65a138a41c39d541a51810cf', '0xe24a28fe8ecd859db4280d1291783a10017d6fc4']",,,4.48973,0.0,0.0,
Hyperliquid L1,pendle,STHYPE,2137136,7.21607,,7.21607,,1194322e-87bc-4bee-8ecd-f86613149f94,-0.41569,0.03451,2.19991,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-stHYPE-26FEB2026,5.57445,0.05155,86,False,['0xffaa4a3d97fe9107cef8a3f48c069f577ff76cc1'],,,5.70489,,,
Arbitrum,pendle,USDAI,2099950,3.69505,6.33267,10.02772,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],adc1a060-aa9b-416e-ad10-4b7d7100b42c,-2.20907,4.44226,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 64, 'binnedConfidence': 2}",For LP | Maturity 15OCT2026,7.99516,0.20647,12,False,"['0xc9d24ad0bb25f34098e226a8c5192dea7bacccae', '0x5edcbc20cac67adc2e724d4348ff85132b085b82']",,,9.12518,3653.13958,1088515.41117,
Arbitrum,pendle,USDAI,2099950,7.62502,,7.62502,,2785c8d0-348b-4e8f-904e-4b02819993b9,-0.05089,0.54047,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 54, 'binnedConfidence': 1}",For buying PT-USDai-15OCT2026,7.47256,0.02089,12,False,['0x0a1a1a107e45b7ced86833863f482bc5f4ed82ef'],,,7.46855,,,
Arbitrum,pendle,WEETH,2075622,2.43631,,2.43631,,44592213-9be8-4186-9a11-0edcc6f83b85,-0.00294,-0.0583,-0.86253,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",For buying PT-weETH-25JUN2026,2.86742,0.02563,225,False,['0x35751007a407ca6feffe80b3cb397736d2cf4dbe'],,,2.67453,,,
Arbitrum,pendle,WEETH,2075622,2.53799,0.11244,2.65044,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],cff6ce74-f1f1-47e9-9630-61f6e91f16c8,-0.03396,-0.01612,-7.46779,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 73, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,4.00274,0.10328,225,False,"['0xab7f3837e6e721abbc826927b655180af6a04388', '0xa6c895eb332e91c5b3d00b7baeeaae478cc502da']",,,3.56406,0.0,91.92129,
Ethereum,pendle,WSTETH,2033936,2.38197,,2.38197,,97f2876b-d4f9-4d86-95fe-da16314c838c,0.0,0.0,0.0,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",For buying PT-wstETH-30DEC2027,3.81974,0.03911,967,False,['0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0'],,,2.38197,,,
Ethereum,pendle,WSTETH,2033936,2.35736,0.65337,3.01072,['0x808507121b80c02388fad14726482e061b8da827'],66329c23-3419-48cf-82ea-f0a058e899a4,0.02122,-0.18692,0.30425,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 86, 'binnedConfidence': 3}",For LP | Maturity 30DEC2027,5.10912,0.12092,967,False,"['0xb253eff1104802b97ac7e3ac9fdd73aece295a2c', '0xcbc72d92b2dc8187414f6734718563898740c0bc']",,,3.34111,0.0,0.0,
Ethereum,pendle,DUSD,2025920,5.86502,0.00168,5.86669,['0x808507121b80c02388fad14726482e061b8da827'],b34b9f04-1334-46bb-a86f-769b044573ad,0.2803,-1.74304,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 61, 'binnedConfidence': 2}",For LP | Maturity 23APR2026,5.30315,0.09521,26,False,"['0x72804b33125bb40468e9c1473436911fa0222a21', '0xdeb45ce184fa26211e07ff8ad842807ad703b75e']",,,5.31743,0.0,1015.13685,
Ethereum,pendle,DUSD,2025920,7.84654,,7.84654,,91b20adc-b569-455b-b125-510978b21435,2e-05,-0.01142,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-DUSD-23APR2026,8.10092,0.02407,26,False,['0x1e33e98af620f1d563fcd3cfd3c75ace841204ef'],,,8.12965,,,
Ethereum,pendle,HGETH,1917865,4.23482,0.17139,4.40621,['0x808507121b80c02388fad14726482e061b8da827'],da8090cd-c2d0-45ab-a3fd-bb736fe9072c,0.3235,0.5037,2.30443,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 69, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,7.29146,0.19935,225,False,"['0x5b1578e2604b91bd7b24f86f0e5ef6c024bb3a14', '0x378fa6c08c86d76f0c2511a8addd9464d3dfc723']",,,5.8023,0.0,4356.85802,
Ethereum,pendle,HGETH,1917865,5.30508,,5.30508,,f7746405-79d3-45d2-b758-c046d5610cd6,0.31263,0.21419,-0.22369,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",For buying PT-hgETH-25JUN2026,4.73986,0.05414,225,False,['0xc824a08db624942c5e5f330d56530cd1598859fd'],,,5.26808,,,
Arbitrum,pendle,RETH,1868520,2.33328,,2.33328,,03ff6f62-14b0-4be8-8e8b-24e086ab196c,1e-05,5e-05,0.10105,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",For buying PT-rETH-25JUN2026,2.31182,0.00367,224,False,['0xec70dcb4a1efa46b8f2d97c310c9c4790ba5ffa8'],,,2.29994,,,
Arbitrum,pendle,RETH,1868520,2.14013,5e-05,2.14018,['0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8'],a8241024-73c8-4a22-aeac-6c6320cd462a,-0.022,0.00781,-1.62674,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 70, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,2.73935,0.02243,224,False,"['0x3362c1265a0522f321253708c9fb176f2274fa8d', '0xc0cf4b266be5b3229c49590b59e67a09c15b22f4']",,,2.42719,0.00826,254.98201,
Base,pendle,YOETH,1753054,8.25219,0.38368,8.63587,['0xa99f6e6785da0f5d6fb42495fe424bce029eeb3e'],a8b451ca-36d4-4845-9811-e0f95eda4911,0.38647,-0.14016,3.08454,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 61, 'binnedConfidence': 2}",For LP | Maturity 26MAR2026,5.62155,0.10091,141,False,"['0x1a5c5ea50717a2ea0e4f7036fb289349deaab58b', '0xe574de45b4ea2c5db7dd6f4074349f270ee97c64']",,,5.81584,14.52286,8688.2821,
Base,pendle,YOETH,1753054,6.60484,,6.60484,,a6d3ef57-7fb0-4fe7-8b44-804053b6988f,0.4095,-0.06698,1.61397,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 67, 'binnedConfidence': 2}",For buying PT-yoETH-26MAR2026,5.66464,0.0488,141,False,['0x3a43aec53490cb9fa922847385d82fe25d0e9de7'],,,5.92189,,,
Ethereum,pendle,SUSN,1714486,8.1529,,8.1529,,afddf12f-59fb-4e1a-9748-27943cbb4f79,-0.00024,0.00407,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 59, 'binnedConfidence': 1}",For buying PT-sUSN-30JUL2026,8.34401,0.02839,30,False,['0xe24a3dc889621612422a64e6388927901608b91d'],,,8.34692,,,
Ethereum,pendle,SUSN,1714486,12.76575,0.01312,12.77887,['0x808507121b80c02388fad14726482e061b8da827'],75088b46-9b94-4ca9-b715-03a008b96b92,5.67575,9.92095,,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 59, 'binnedConfidence': 1}",For LP | Maturity 30JUL2026,8.25587,0.06643,30,False,"['0x59c2c836ff229e52a0bcc164f5d4bd3f3d312be4', '0xa0a2c8c94bf30227f84af6e054025945a51d0eff']",,,8.09751,103.55235,103.55235,
Ethereum,pendle,RLP,1590103,8.07658,,8.07658,,b36c96f5-ca35-4236-bb54-7b84f39aba28,-0.80546,0.23174,-2.20289,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 52, 'binnedConfidence': 1}",For buying PT-RLP-09APR2026,9.2848,0.05764,86,False,['0x4956b52ae2ff65d74ca2d61207523288e4528f96'],,,8.64656,,,
Ethereum,pendle,RLP,1590103,2.23395,0.36216,2.59611,['0x808507121b80c02388fad14726482e061b8da827'],af9f9ec3-ae9c-4a5d-95c4-1c1c55e4afcf,-0.41073,0.73645,-8.38529,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 87, 'binnedConfidence': 3}",For LP | Maturity 09APR2026,8.74371,0.15868,86,False,"['0x29fd7180e5cced14ad148c7997e6b6857a8be86e', '0xa004dd9439c2cf00794786c9662267bee6d9f723']",,,6.07903,0.0,0.0,
Ethereum,pendle,STUSDS,1543901,7.01634,2.39662,9.41296,['0x808507121b80c02388fad14726482e061b8da827'],74e244b5-ffe2-482f-93b5-ce443a69c184,-0.1224,-6.03849,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.00000000000001, 'binnedConfidence': 1}",For LP | Maturity 25JUN2026,14.36696,0.13931,19,False,"['0xd7a8fc30e2e5f196c076f00eb2edc835528be564', '0x57e16654b9e42ef4df30006e4c60f5a475a2f0e9']",,,14.66739,10665.04732,679704.7813,
Ethereum,pendle,STUSDS,1543901,6.63822,,6.63822,,e48dc95b-fc22-48b8-a06f-66002c0c9963,0.00117,-0.4013,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",For buying PT-stUSDS-25JUN2026,7.6226,0.05062,19,False,['0x99cd4ec3f88a45940936f469e4bb72a2a701eeb9'],,,7.70982,,,
Ethereum,pendle,STRETH,1513697,3.81358,,3.81358,,5a8be87d-8632-45a3-b0cb-08f33bd4aa90,2e-05,-0.18154,-0.94258,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 63, 'binnedConfidence': 2}",For buying PT-strETH-26MAR2026,4.31952,0.02048,86,False,['0xcd3c0f51798d1daa92fb192e57844ae6cee8a6c7'],,,4.14237,,,
Ethereum,pendle,STRETH,1513697,3.2669,0.05245,3.31935,['0x808507121b80c02388fad14726482e061b8da827'],6e4f1998-dfa9-4793-aafe-387f97892f27,0.39443,0.94254,-2.03921,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 65, 'binnedConfidence': 2}",For LP | Maturity 26MAR2026,5.43997,0.09795,86,False,"['0x380e68536dfebafee63321d25e9dfefc67d0fe71', '0x095707a011a500b2c2c043473249debb4e9c1dab']",,,3.8937,0.0,0.0,
Ethereum,pendle,DBIT,1509067,2.74462,,2.74462,,52260c00-456d-4f67-9ec8-e62d4c75c82f,1e-05,0.0,,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 64, 'binnedConfidence': 2}",For buying PT-DBIT-23APR2026,2.80062,0.0092,27,False,['0x972966bcc17f7d818de4f27dc146ef539c231bdf'],,,2.79773,,,
Ethereum,pendle,DBIT,1509067,0.57489,0.00019,0.57508,['0x808507121b80c02388fad14726482e061b8da827'],10b72be8-7273-4887-a3fa-fbd2ff3c19a3,4e-05,-0.00999,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 77, 'binnedConfidence': 3}",For LP | Maturity 23APR2026,1.64715,0.11525,27,False,"['0x071030a222514de5b1353d5a8c668516af4e51fe', '0x725e18142472384e45e15084e308dbeae43381aa']",,,1.75273,0.0,0.0,
Ethereum,pendle,WEETH,1354582,2.52331,,2.52331,,cf047bdd-d744-4839-9ce3-968fb54e9c7c,-0.00025,-0.00179,0.05213,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",For buying PT-weETH-25JUN2026,2.64647,0.00745,225,False,['0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee'],,,2.53943,,,
Ethereum,pendle,WEETH,1354582,2.64602,0.12844,2.77446,['0x808507121b80c02388fad14726482e061b8da827'],f8e0b386-054e-4437-b58f-b504dd9ebc03,-0.08594,0.13225,0.0476,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 71, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,2.91795,0.01525,225,False,"['0x8e8b8d3b2dca78cb04b9914b7ec1ad72f671f96d', '0xac0047886a985071476a1186be89222659970d65']",,,2.71705,278.02474,123313.88,
Ethereum,pendle,MSUSD,1322558,1.87249,0.39208,2.26456,['0x808507121b80c02388fad14726482e061b8da827'],f5f4b40b-efbe-40ff-ba7a-b7ba1d3a9baf,-0.25142,-1.80062,-14.3765,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 90, 'binnedConfidence': 3}",For LP | Maturity 09APR2026,7.12328,0.2418,37,False,"['0x0c5f4687ff0ff614438dd75db1c6db0e6669eff2', '0xf3d25ad78fc5b99cc489c648e190aeebac1bd951']",,,6.25627,0.0,0.0,
Ethereum,pendle,MSUSD,1322558,8.86982,,8.86982,,7e10d94d-b24c-4aa7-b294-3682b333aa80,-0.00298,-1.74434,-1.95688,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-msUSD-09APR2026,11.02016,0.05653,37,False,['0x4ba01f22827018b4772cd326c7627fb4956a7c00'],,,10.87586,,,
Ethereum,pendle,NUSD,1211731,0.94691,0.22146,1.16837,['0x808507121b80c02388fad14726482e061b8da827'],47e13ff8-e7f2-4bd7-9c96-b4553b4b41d9,-0.15023,,,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",For LP | Maturity 04JUN2026,1.24343,0.00549,2,False,"['0x2443e846d17a738ae1262702fce2c4cd7a3e83ea', '0x29ac34026c369d21fe3b2c7735ec986e2880b347']",,,1.31627,43424.81473,43424.81473,
Ethereum,pendle,NUSD,1211731,6.20803,,6.20803,,931e6662-c13d-4d46-870b-8b0e5d8b45a3,-0.75356,,,True,no,single,"{'predictedClass': None, 'predictedProbability': None, 'binnedConfidence': None}",For buying PT-NUSD-04JUN2026,6.59262,0.02676,2,False,['0xe556aba6fe6036275ec1f87eda296be72c811bce'],,,6.96794,,,
Ethereum,pendle,NUSD,1211565,8.57591,0.39999,8.9759,['0x808507121b80c02388fad14726482e061b8da827'],86435226-80a3-422a-9838-70ab4a6e7bb7,2.88661,5.8889,4.29913,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 85, 'binnedConfidence': 3}",For LP | Maturity 26FEB2026,3.78892,0.09685,86,False,"['0x215a6a2a0d1c563d0cb55ebd8d126f3bc0b92cf2', '0x29ac34026c369d21fe3b2c7735ec986e2880b347']",,,4.77163,0.0,334.50288,
Ethereum,pendle,NUSD,1211565,19.18257,,19.18257,,5fac34de-a37b-4e25-9370-7655b64093e2,2.91815,8.81624,10.67012,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 84, 'binnedConfidence': 3}",For buying PT-NUSD-26FEB2026,10.48923,0.09339,86,False,['0xe556aba6fe6036275ec1f87eda296be72c811bce'],,,11.30141,,,
